,score
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,0
12,0
13,0
14,1
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,1
29,1
30,0
31,0
32,1
33,1
34,0
35,1
36,0
37,1
38,1
39,1
40,0
41,0
42,0
43,1
44,1
45,0
46,0
47,0
48,0
49,0
50,0
51,1
52,0
53,1
54,1
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,1
67,1
68,0
69,0
70,1
71,0
72,0
73,1
74,1
75,0
76,0
77,1
78,0
79,0
80,0
81,0
82,1
83,1
84,0
85,1
86,1
87,0
88,0
89,0
90,0
91,1
92,0
93,0
94,1
95,1
96,0
97,0
98,1
99,0
100,1
101,0
102,0
103,0
104,1
105,1
106,1
107,1
108,0
109,1
110,1
111,0
112,1
113,1
114,0
115,1
116,0
117,1
118,1
119,1
120,1
121,0
122,0
123,1
124,0
125,1
126,0
127,1
128,1
129,1
130,1
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,0
139,0
140,0
141,0
142,0
143,0
144,1
145,1
146,1
147,0
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,0
157,0
158,0
159,0
160,1
161,1
162,0
163,0
164,1
165,1
166,1
167,1
168,1
169,0
170,1
171,0
172,0
173,0
174,0
175,1
176,0
177,1
178,1
179,1
180,1
181,0
182,1
183,0
184,1
185,1
186,1
187,0
188,1
189,1
190,1
191,1
192,0
193,0
194,0
195,1
196,0
197,0
198,1
199,1
200,1
201,1
202,1
203,0
204,1
205,1
206,0
207,1
208,1
209,0
210,0
211,1
212,1
213,0
214,0
215,0
216,1
217,1
218,1
219,0
220,1
221,1
222,1
223,1
224,0
225,1
226,1
227,1
228,1
229,0
230,1
231,1
232,0
233,1
234,1
235,1
236,1
237,1
238,1
239,0
240,1
241,1
242,0
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,0
253,0
254,1
255,1
256,1
257,1
258,0
259,1
260,0
261,0
262,1
263,1
264,1
265,1
266,0
267,1
268,0
269,0
270,1
271,0
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,0
291,1
292,1
293,0
294,1
295,1
296,1
297,1
298,1
299,1
300,0
301,1
302,1
303,0
304,0
305,1
306,1
307,1
308,1
309,0
310,1
311,0
312,1
313,1
314,0
315,0
316,1
317,1
318,0
319,1
320,1
321,0
322,0
323,0
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,0
344,1
345,1
346,1
347,0
348,1
349,1
350,1
351,1
352,1
353,1
354,0
355,0
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,0
381,1
382,0
383,0
384,1
385,1
386,0
387,1
388,1
389,0
390,1
391,0
392,0
393,1
394,0
395,1
396,1
397,1
398,1
399,0
400,1
401,0
402,1
403,1
404,1
405,1
406,1
407,0
408,0
409,1
410,1
411,1
412,1
413,1
414,0
415,1
416,0
417,1
418,0
419,1
420,1
421,1
422,1
423,1
424,0
425,1
426,1
427,0
428,0
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,0
439,1
440,1
441,0
442,1
443,1
444,1
445,1
446,1
447,0
448,1
449,1
450,1
451,0
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,0
468,1
469,1
470,1
471,1
472,0
473,1
474,1
475,1
476,0
477,0
478,1
479,1
480,1
481,1
482,1
483,1
484,0
485,1
486,1
487,0
488,1
489,1
490,1
491,1
492,1
493,1
494,0
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,0
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,0
513,0
514,1
515,0
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,0
